대한민국 인구수: 51,780,000
1월 1주 기준 총 확진자: 486,038

5129.4 (만명 기준)

일평균 확진자 (S의 수) [일주일 총 확진자수] (Beta 지수)

12월 4주 4,520 [3.164]
1월 1주 3,618 [2.2148]

1월 2주 3,974 (5126.6182) [2.7818] 0.0005426
1월 3주 5,964 (5122.4434) [4.1748] 0.0008150
1월 4주 13,538 (5112.9668) [9.4766] 0.001850
1월 5주 25,872 (5094.8564) [18.1104] 0.003555
2월 1주 48,713 (5060.7573) [34.0991] 0.006738
2월 2주 87,464 (4999.5325) [61.2248] 0.01225
2월 3주 147,438 (4896.3259) [103.2066] 0.02108
2월 4주 208,782 (4750.1785) [146.1474] 0.03077
3월 1주 300,039 (4540.1512) [210.0273] 0.04626
3월 2주 402,457 (4258.4313) [281.7199] 0.06616
3월 3주 348,979 (4014.146) [244.2853] 0.06086
3월 4주 294,128 (3808.2564) [205.8896] 0.05406
.04월 1주 208,546 (3662.2742) [145.9822] 0.03986
4월 2주 138,901 (3565.0435) [97.2307] 0.02727
4월 3주 84,238 (3506.0769) [58.9666] 0.01682
4월 4주 54,372 (3468.0165) [38.0604] 0.01097
5월 1주 38,422 (3441.1211) [26.8954] 0.007816
5월 2주 35,400 (3416.3411) [24.78] 0.007253
